Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a793a189-7e7f-48b6-ea63-43036cef8d3d,1998-01-20,,999-96-4656,S99996353,X72585273X,Mr.,Aubrey96,Kunde533,,,,white,nonhispanic,M,Amherst  Massachusetts  US,104 Bergstrom Corner,Lunenburg,Massachusetts,Worcester County,25027,01462,42.580801329983885,-71.7522172625248,36247.70,4865.82,48054
dabfdec7-929a-3269-fd84-ab7e6ecaa245,2000-05-09,,999-80-4324,S99931690,X5713510X,Mr.,Adolph80,Bartoletti50,,,,white,nonhispanic,M,Wrentham  Massachusetts  US,354 Tillman Orchard Unit 9,Holyoke,Massachusetts,Hampden County,25013,01040,42.163180975257255,-72.61261755680171,37564.34,0.00,44410
45aa9ffe-bb1e-c459-9f42-1944832cb8d1,1960-08-10,,999-12-5114,S99958400,X89399904X,Mrs.,Ciera654,Mohr916,,Boyle917,D,white,nonhispanic,F,Conway  Massachusetts  US,964 Heidenreich Gate Unit 39,Marshfield Hills,Massachusetts,Plymouth County,25023,02051,42.13253967463435,-70.72014561632173,296362.44,669706.08,146044
d146d332-a0a7-7923-f043-3a5461d8e77d,1985-01-06,,999-35-6701,S99927476,X5192076X,Mrs.,Bernetta267,Kassulke119,,O'Kon634,M,white,nonhispanic,F,Holyoke  Massachusetts  US,509 Hamill Byway Unit 98,Walpole,Massachusetts,Norfolk County,25021,02081,42.12498964731864,-71.24960784354776,155959.67,603164.50,775668
6252ef78-e442-3081-f63b-36435c505a7f,1992-03-14,,999-69-1046,S99982239,X26493391X,Mr.,Carter549,Haag279,,,M,white,nonhispanic,M,Uxbridge  Massachusetts  US,331 Hahn Ville Suite 17,Lawrence,Massachusetts,Essex County,25009,01843,42.67371287855897,-71.14019895885005,65255.92,14413.36,29443
c3b2e799-5291-dc30-dbfc-679181de00aa,1959-05-20,,999-25-4120,S99975093,X56160765X,Mr.,Riley817,Langosh790,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,439 Yundt Well Unit 53,Hull,Massachusetts,Plymouth County,25023,02045,42.32911330105804,-70.93033893856888,121205.13,46511.10,69857
c07a6f3b-a008-257b-36bf-52faa0580281,1968-01-23,,999-78-4008,S99995369,X25172248X,Mrs.,Amiee221,Crona259,,Friesen796,M,white,hispanic,F,Somerville  Massachusetts  US,639 Wunsch Mews,Boston,Massachusetts,Suffolk County,25025,02127,42.42861558468183,-71.01775054459318,12693.62,289507.14,19296
a71c549b-c5fe-80b5-a1e8-4741bd43aeb9,2005-01-18,,999-19-6327,S99991786,,Ms.,Dottie687,Cummerata161,,,,white,nonhispanic,F,Winchendon  Massachusetts  US,561 Fahey Viaduct,Worcester,Massachusetts,Worcester County,25027,01608,42.281503996524926,-71.74693808504465,3600.00,121173.39,9433
6b7b3fc8-b581-0e0c-59f4-ffcd6337d687,1985-12-29,,999-84-5683,S99969893,X22037613X,Mr.,Mitchell808,Runolfsdottir785,,,S,white,nonhispanic,M,Salem  Massachusetts  US,699 Boehm Park,Milton,Massachusetts,Norfolk County,25021,02186,42.23130849569614,-71.0454023166622,47777.16,7414.18,58620
78a7ab19-bdd0-2238-e4e5-de757ee074d1,2002-02-23,,999-92-6054,S99971876,X25748574X,Mr.,Bryant814,Corwin846,,,,white,nonhispanic,M,Blackstone  Massachusetts  US,932 Boyer Wall Unit 71,Canton,Massachusetts,Norfolk County,,00000,42.18254368580204,-71.07680132725513,41033.33,5808.85,120596
